ID	PRIMER	ERROR
ERR346600.147	VH-FW16	0.6818181818181819
ERR346600.134	VH-FW9	0.7
ERR346600.144	VH-FW9	0.7
ERR346600.127	VH-FW16	0.5909090909090908
ERR346600.136	VH-FW16	0.6363636363636364
ERR346600.139	VH-FW16	0.6818181818181819
ERR346600.142	VH-FW16	0.6363636363636364
ERR346600.115	VH-FW16	0.6363636363636364
ERR346600.149	VH-FW9	0.7
ERR346600.133	VH-FW16	0.5909090909090908
ERR346600.141	VH-FW17	0.6
ERR346600.146	VH-FW9	0.7
ERR346600.150	VH-FW16	0.5909090909090908
ERR346600.160	VH-FW16	0.6818181818181819
ERR346600.140	VH-FW9	0.7
ERR346600.154	VH-FW16	0.5909090909090908
ERR346600.158	VH-FW16	0.6363636363636364
ERR346600.156	VH-FW17	0.6
ERR346600.155	VH-FW16	0.6363636363636364
ERR346600.148	VH-FW9	0.65
ERR346600.159	VH-FW16	0.6363636363636364
ERR346600.130	VH-FW17	0.65
ERR346600.153	VH-FW16	0.6363636363636364
ERR346600.152	VH-FW16	0.6363636363636364
ERR346600.151	VH-FW16	0.6363636363636364
ERR346600.164	VH-FW9	0.7
ERR346600.161	VH-FW17	0.65
ERR346600.157	VH-FW16	0.5909090909090908
ERR346600.169	VH-FW17	0.6
ERR346600.167	VH-FW9	0.7
ERR346600.168	VH-FW17	0.6
ERR346600.166	VH-FW16	0.6818181818181819
ERR346600.163	VH-FW16	0.6363636363636364
ERR346600.165	VH-FW17	0.6
ERR346600.171	VH-FW16	0.6818181818181819
ERR346600.172	VH-FW16	0.6818181818181819
ERR346600.173	VH-FW16	0.6363636363636364
ERR346600.175	VH-FW17	0.65
ERR346600.170	VH-FW16	0.6818181818181819
ERR346600.183	VH-FW17	0.6
ERR346600.177	VH-FW9	0.65
ERR346600.162	VH-FW9	0.65
ERR346600.174	VH-FW16	0.6818181818181819
ERR346600.184	VH-FW9	0.7
ERR346600.187	VH-FW1	0.65
ERR346600.178	VH-FW9	0.7
ERR346600.180	VH-FW16	0.5909090909090908
ERR346600.185	VH-FW9	0.7
ERR346600.188	VH-FW16	0.6363636363636364
ERR346600.186	VH-FW16	0.5909090909090908
ERR346600.179	VH-FW17	0.6
ERR346600.176	VH-FW16	0.6363636363636364
ERR346600.181	VH-FW16	0.6818181818181819
ERR346600.182	VH-FW15	0.65
ERR346600.194	VH-FW16	0.6363636363636364
ERR346600.196	VH-FW16	0.6818181818181819
ERR346600.190	VH-FW16	0.6363636363636364
ERR346600.195	VH-FW16	0.6818181818181819
ERR346600.191	VH-FW9	0.65
ERR346600.189	VH-FW16	0.6363636363636364
ERR346600.193	VH-FW9	0.7
ERR346600.198	VH-FW16	0.6363636363636364
ERR346600.210	VH-FW9	0.65
ERR346600.204	VH-FW16	0.6818181818181819
ERR346600.202	VH-FW16	0.6363636363636364
ERR346600.201	VH-FW17	0.6
ERR346600.206	VH-FW16	0.5909090909090908
ERR346600.209	VH-FW16	0.6818181818181819
ERR346600.199	VH-FW9	0.65
ERR346600.213	VH-FW16	0.6363636363636364
ERR346600.217	VH-FW9	0.7
ERR346600.200	VH-FW9	0.7
ERR346600.205	VH-FW9	0.65
ERR346600.215	VH-FW15	0.6
ERR346600.211	VH-FW16	0.6363636363636364
ERR346600.222	VH-FW17	0.65
ERR346600.221	VH-FW16	0.6818181818181819
ERR346600.214	VH-FW17	0.6
ERR346600.219	VH-FW9	0.65
ERR346600.228	VH-FW9	0.7
ERR346600.225	VH-FW9	0.7
ERR346600.216	VH-FW16	0.6363636363636364
ERR346600.218	VH-FW9	0.7
ERR346600.223	VH-FW17	0.6
ERR346600.226	VH-FW17	0.6
ERR346600.229	VH-FW17	0.65
ERR346600.224	VH-FW16	0.5909090909090908
ERR346600.234	VH-FW17	0.6
ERR346600.233	VH-FW16	0.6363636363636364
ERR346600.230	VH-FW16	0.6363636363636364
ERR346600.241	VH-FW17	0.6
ERR346600.236	VH-FW9	0.7
ERR346600.240	VH-FW17	0.65
ERR346600.203	VH-FW16	0.6818181818181819
ERR346600.249	VH-FW9	0.7
ERR346600.243	VH-FW16	0.6363636363636364
ERR346600.232	VH-FW9	0.7
ERR346600.238	VH-FW9	0.7
ERR346600.246	VH-FW16	0.5909090909090908
ERR346600.235	VH-FW9	0.65
ERR346600.248	VH-FW17	0.6
ERR346600.244	VH-FW9	0.7
ERR346600.252	VH-FW9	0.7
ERR346600.208	VH-FW17	0.6
ERR346600.242	VH-FW9	0.7
ERR346600.220	VH-FW9	0.65
ERR346600.253	VH-FW16	0.6363636363636364
ERR346600.212	VH-FW17	0.6
ERR346600.255	VH-FW16	0.6818181818181819
ERR346600.247	VH-FW16	0.6363636363636364
ERR346600.265	VH-FW16	0.5909090909090908
ERR346600.261	VH-FW9	0.7
ERR346600.256	VH-FW17	0.6
ERR346600.245	VH-FW9	0.65
ERR346600.231	VH-FW16	0.6818181818181819
ERR346600.257	VH-FW16	0.6818181818181819
ERR346600.260	VH-FW9	0.65
ERR346600.254	VH-FW17	0.6
ERR346600.272	VH-FW16	0.6818181818181819
ERR346600.259	VH-FW16	0.6818181818181819
ERR346600.266	VH-FW17	0.6
ERR346600.271	VH-FW16	0.6363636363636364
ERR346600.262	VH-FW9	0.65
ERR346600.263	VH-FW9	0.7
ERR346600.258	VH-FW17	0.6
ERR346600.250	VH-FW16	0.6363636363636364
ERR346600.270	VH-FW16	0.5909090909090908
ERR346600.264	VH-FW16	0.6818181818181819
ERR346600.267	VH-FW17	0.6
ERR346600.284	VH-FW9	0.65
ERR346600.287	VH-FW16	0.6363636363636364
ERR346600.276	VH-FW16	0.6363636363636364
ERR346600.281	VH-FW16	0.6363636363636364
ERR346600.268	VH-FW16	0.6363636363636364
ERR346600.275	VH-FW16	0.6363636363636364
ERR346600.277	VH-FW9	0.65
ERR346600.274	VH-FW17	0.65
ERR346600.279	VH-FW16	0.6818181818181819
ERR346600.283	VH-FW9	0.65
ERR346600.294	VH-FW16	0.6818181818181819
ERR346600.269	VH-FW9	0.7
ERR346600.286	VH-FW9	0.65
ERR346600.280	VH-FW1	0.65
ERR346600.282	VH-FW16	0.6363636363636364
ERR346600.293	VH-FW16	0.6818181818181819
ERR346600.278	VH-FW9	0.65
ERR346600.302	VH-FW17	0.65
ERR346600.289	VH-FW16	0.6363636363636364
ERR346600.303	VH-FW9	0.7
ERR346600.288	VH-FW9	0.65
ERR346600.285	VH-FW16	0.6363636363636364
ERR346600.297	VH-FW16	0.5909090909090908
ERR346600.292	VH-FW16	0.6363636363636364
ERR346600.299	VH-FW9	0.7
ERR346600.300	VH-FW16	0.5
ERR346600.308	VH-FW16	0.6818181818181819
ERR346600.290	VH-FW17	0.65
ERR346600.315	VH-FW9	0.65
ERR346600.307	VH-FW17	0.6
ERR346600.305	VH-FW16	0.6363636363636364
ERR346600.296	VH-FW17	0.65
ERR346600.301	VH-FW16	0.6363636363636364
ERR346600.309	VH-FW9	0.65
ERR346600.291	VH-FW16	0.6818181818181819
ERR346600.311	VH-FW17	0.55
ERR346600.310	VH-FW16	0.6363636363636364
ERR346600.314	VH-FW16	0.6363636363636364
ERR346600.317	VH-FW9	0.5
ERR346600.316	VH-FW17	0.6
ERR346600.325	VH-FW17	0.55
ERR346600.304	VH-FW16	0.6363636363636364
ERR346600.321	VH-FW16	0.6818181818181819
ERR346600.326	VH-FW16	0.6818181818181819
ERR346600.313	VH-FW16	0.5909090909090908
ERR346600.319	VH-FW17	0.65
ERR346600.312	VH-FW9	0.7
ERR346600.306	VH-FW9	0.7
ERR346600.324	VH-FW9	0.7
ERR346600.327	VH-FW17	0.6
ERR346600.320	VH-FW16	0.6818181818181819
ERR346600.322	VH-FW9	0.30000000000000004
ERR346600.318	VH-FW9	0.65
ERR346600.331	VH-FW17	0.6
ERR346600.337	VH-FW16	0.6818181818181819
ERR346600.333	VH-FW9	0.7
ERR346600.338	VH-FW3	0.65
ERR346600.323	VH-FW17	0.6
ERR346600.336	VH-FW17	0.65
ERR346600.344	VH-FW9	0.65
ERR346600.340	VH-FW16	0.6363636363636364
ERR346600.332	VH-FW9	0.65
ERR346600.334	VH-FW16	0.6363636363636364
ERR346600.329	VH-FW16	0.6363636363636364
ERR346600.343	VH-FW17	0.6
ERR346600.335	VH-FW17	0.65
ERR346600.353	VH-FW16	0.6363636363636364
ERR346600.348	VH-FW16	0.5909090909090908
ERR346600.359	VH-FW9	0.7
ERR346600.354	VH-FW16	0.6363636363636364
ERR346600.342	VH-FW16	0.6363636363636364
ERR346600.350	VH-FW9	0.65
ERR346600.347	VH-FW16	0.6818181818181819
ERR346600.339	VH-FW16	0.6818181818181819
ERR346600.363	VH-FW19	0.6
ERR346600.356	VH-FW9	0.65
ERR346600.341	VH-FW9	0.7
ERR346600.364	VH-FW9	0.7
ERR346600.361	VH-FW16	0.6818181818181819
ERR346600.345	VH-FW16	0.6363636363636364
ERR346600.362	VH-FW17	0.65
ERR346600.346	VH-FW16	0.6818181818181819
ERR346600.351	VH-FW9	0.65
ERR346600.370	VH-FW9	0.65
ERR346600.371	VH-FW9	0.7
ERR346600.355	VH-FW9	0.65
ERR346600.373	VH-FW17	0.6
ERR346600.369	VH-FW9	0.7
ERR346600.366	VH-FW9	0.7
ERR346600.349	VH-FW9	0.7
ERR346600.378	VH-FW16	0.6818181818181819
ERR346600.381	VH-FW16	0.5909090909090908
ERR346600.368	VH-FW16	0.5909090909090908
ERR346600.372	VH-FW16	0.6363636363636364
ERR346600.360	VH-FW9	0.65
ERR346600.388	VH-FW16	0.6818181818181819
ERR346600.383	VH-FW16	0.6363636363636364
ERR346600.379	VH-FW16	0.6363636363636364
ERR346600.387	VH-FW16	0.6363636363636364
ERR346600.377	VH-FW16	0.6818181818181819
ERR346600.384	VH-FW16	0.6363636363636364
ERR346600.390	VH-FW16	0.6363636363636364
ERR346600.375	VH-FW17	0.6
ERR346600.365	VH-FW6	0.55
ERR346600.382	VH-FW16	0.6363636363636364
ERR346600.401	VH-FW17	0.65
ERR346600.386	VH-FW9	0.65
ERR346600.394	VH-FW16	0.6363636363636364
ERR346600.392	VH-FW9	0.65
ERR346600.385	VH-FW16	0.6363636363636364
ERR346600.376	VH-FW16	0.6818181818181819
ERR346600.380	VH-FW16	0.6818181818181819
ERR346600.395	VH-FW17	0.6
ERR346600.400	VH-FW9	0.65
ERR346600.391	VH-FW16	0.6363636363636364
ERR346600.413	VH-FW16	0.5909090909090908
ERR346600.402	VH-FW9	0.7
ERR346600.404	VH-FW9	0.7
ERR346600.397	VH-FW17	0.6
ERR346600.398	VH-FW16	0.6818181818181819
ERR346600.399	VH-FW17	0.65
ERR346600.405	VH-FW16	0.6363636363636364
ERR346600.414	VH-FW16	0.6818181818181819
ERR346600.406	VH-FW9	0.7
ERR346600.408	VH-FW17	0.6
ERR346600.418	VH-FW16	0.6363636363636364
ERR346600.409	VH-FW16	0.5909090909090908
ERR346600.407	VH-FW16	0.6818181818181819
ERR346600.412	VH-FW16	0.6363636363636364
ERR346600.410	VH-FW16	0.6363636363636364
ERR346600.416	VH-FW16	0.6818181818181819
ERR346600.411	VH-FW17	0.6
ERR346600.415	VH-FW17	0.65
ERR346600.420	VH-FW16	0.5909090909090908
ERR346600.431	VH-FW9	0.7
ERR346600.432	VH-FW9	0.7
ERR346600.419	VH-FW16	0.6818181818181819
ERR346600.424	VH-FW16	0.6363636363636364
ERR346600.434	VH-FW16	0.6363636363636364
ERR346600.428	VH-FW16	0.5909090909090908
ERR346600.436	VH-FW16	0.5909090909090908
ERR346600.426	VH-FW16	0.5909090909090908
ERR346600.437	VH-FW16	0.6363636363636364
ERR346600.430	VH-FW9	0.65
ERR346600.445	VH-FW9	0.7
ERR346600.438	VH-FW16	0.6363636363636364
ERR346600.423	VH-FW17	0.6
ERR346600.446	VH-FW9	0.7
ERR346600.443	VH-FW17	0.65
ERR346600.425	VH-FW9	0.65
ERR346600.440	VH-FW19	0.6
ERR346600.417	VH-FW9	0.65
ERR346600.439	VH-FW9	0.65
ERR346600.433	VH-FW9	0.7
ERR346600.427	VH-FW9	0.7
ERR346600.451	VH-FW16	0.6363636363636364
ERR346600.452	VH-FW16	0.6818181818181819
ERR346600.449	VH-FW16	0.5909090909090908
ERR346600.454	VH-FW16	0.6363636363636364
ERR346600.441	VH-FW16	0.6818181818181819
ERR346600.422	VH-FW17	0.65
ERR346600.442	VH-FW17	0.6
ERR346600.421	VH-FW17	0.6
ERR346600.450	VH-FW17	0.65
ERR346600.458	VH-FW16	0.6818181818181819
ERR346600.456	VH-FW16	0.6363636363636364
ERR346600.462	VH-FW9	0.7
ERR346600.463	VH-FW16	0.6363636363636364
ERR346600.459	VH-FW17	0.6
ERR346600.447	VH-FW9	0.7
ERR346600.448	VH-FW16	0.6818181818181819
ERR346600.472	VH-FW16	0.6363636363636364
ERR346600.460	VH-FW9	0.7
ERR346600.467	VH-FW16	0.6363636363636364
ERR346600.466	VH-FW9	0.7
ERR346600.457	VH-FW9	0.65
ERR346600.453	VH-FW16	0.6818181818181819
ERR346600.455	VH-FW16	0.6818181818181819
ERR346600.469	VH-FW9	0.7
ERR346600.470	VH-FW17	0.6
ERR346600.477	VH-FW9	0.65
ERR346600.464	VH-FW16	0.6363636363636364
ERR346600.473	VH-FW16	0.5909090909090908
ERR346600.483	VH-FW16	0.6363636363636364
ERR346600.492	VH-FW17	0.6
ERR346600.478	VH-FW9	0.65
ERR346600.471	VH-FW16	0.6818181818181819
ERR346600.488	VH-FW16	0.5909090909090908
ERR346600.485	VH-FW9	0.7
ERR346600.476	VH-FW16	0.6818181818181819
ERR346600.475	VH-FW17	0.65
ERR346600.491	VH-FW17	0.6
ERR346600.481	VH-FW9	0.7
ERR346600.489	VH-FW9	0.65
ERR346600.482	VH-FW9	0.7
ERR346600.502	VH-FW17	0.65
ERR346600.487	VH-FW9	0.65
ERR346600.493	VH-FW9	0.65
ERR346600.465	VH-FW16	0.6818181818181819
ERR346600.494	VH-FW9	0.7
ERR346600.479	VH-FW17	0.6
ERR346600.498	VH-FW16	0.6363636363636364
ERR346600.480	VH-FW9	0.7
ERR346600.497	VH-FW9	0.65
ERR346600.504	VH-FW16	0.6818181818181819
ERR346600.503	VH-FW9	0.7
ERR346600.514	VH-FW16	0.6818181818181819
ERR346600.507	VH-FW16	0.6818181818181819
ERR346600.500	VH-FW16	0.6363636363636364
ERR346600.509	VH-FW17	0.6
ERR346600.506	VH-FW9	0.65
ERR346600.484	VH-FW16	0.6818181818181819
ERR346600.519	VH-FW16	0.6363636363636364
ERR346600.522	VH-FW9	0.65
ERR346600.501	VH-FW16	0.6363636363636364
ERR346600.515	VH-FW9	0.7
ERR346600.520	VH-FW9	0.65
ERR346600.516	VH-FW16	0.6363636363636364
ERR346600.496	VH-FW16	0.6818181818181819
ERR346600.528	VH-FW16	0.6363636363636364
ERR346600.513	VH-FW16	0.6818181818181819
ERR346600.523	VH-FW16	0.6363636363636364
ERR346600.510	VH-FW9	0.65
ERR346600.508	VH-FW9	0.7
ERR346600.512	VH-FW16	0.6363636363636364
ERR346600.511	VH-FW16	0.6818181818181819
ERR346600.517	VH-FW16	0.5909090909090908
ERR346600.505	VH-FW16	0.5909090909090908
ERR346600.524	VH-FW17	0.65
ERR346600.533	VH-FW17	0.6
ERR346600.527	VH-FW16	0.6363636363636364
ERR346600.526	VH-FW16	0.6818181818181819
ERR346600.531	VH-FW17	0.6
ERR346600.537	VH-FW16	0.6363636363636364
ERR346600.530	VH-FW16	0.6818181818181819
ERR346600.544	VH-FW16	0.6363636363636364
ERR346600.535	VH-FW9	0.7
ERR346600.536	VH-FW16	0.6818181818181819
ERR346600.521	VH-FW16	0.6363636363636364
ERR346600.542	VH-FW16	0.6818181818181819
ERR346600.539	VH-FW9	0.7
ERR346600.534	VH-FW14	0.6
ERR346600.543	VH-FW16	0.6818181818181819
ERR346600.549	VH-FW16	0.6818181818181819
ERR346600.525	VH-FW9	0.7
ERR346600.540	VH-FW16	0.5909090909090908
ERR346600.550	VH-FW17	0.65
ERR346600.545	VH-FW16	0.6363636363636364
ERR346600.547	VH-FW16	0.6363636363636364
ERR346600.548	VH-FW9	0.65
ERR346600.559	VH-FW16	0.6818181818181819
ERR346600.553	VH-FW9	0.65
ERR346600.551	VH-FW16	0.6818181818181819
ERR346600.532	VH-FW9	0.65
ERR346600.538	VH-FW17	0.65
ERR346600.555	VH-FW16	0.5909090909090908
ERR346600.558	VH-FW9	0.7
ERR346600.564	VH-FW16	0.5909090909090908
ERR346600.546	VH-FW16	0.6818181818181819
ERR346600.552	VH-FW16	0.6363636363636364
ERR346600.557	VH-FW16	0.5909090909090908
ERR346600.562	VH-FW9	0.65
ERR346600.541	VH-FW16	0.6363636363636364
ERR346600.560	VH-FW16	0.6363636363636364
ERR346600.566	VH-FW16	0.6363636363636364
ERR346600.573	VH-FW17	0.65
ERR346600.576	VH-FW16	0.6363636363636364
ERR346600.581	VH-FW16	0.6363636363636364
ERR346600.574	VH-FW9	0.7
ERR346600.567	VH-FW16	0.6363636363636364
ERR346600.571	VH-FW17	0.6
ERR346600.563	VH-FW9	0.6
ERR346600.580	VH-FW17	0.7
ERR346600.561	VH-FW16	0.6818181818181819
ERR346600.572	VH-FW17	0.6
ERR346600.568	VH-FW16	0.6363636363636364
ERR346600.583	VH-FW9	0.65
ERR346600.554	VH-FW16	0.6818181818181819
ERR346600.585	VH-FW17	0.6
ERR346600.587	VH-FW16	0.5909090909090908
ERR346600.577	VH-FW17	0.65
ERR346600.579	VH-FW16	0.6363636363636364
ERR346600.582	VH-FW16	0.6818181818181819
ERR346600.586	VH-FW16	0.5909090909090908
ERR346600.590	VH-FW16	0.6363636363636364
ERR346600.589	VH-FW16	0.6363636363636364
ERR346600.569	VH-FW9	0.7
ERR346600.578	VH-FW17	0.6
ERR346600.588	VH-FW17	0.6
ERR346600.575	VH-FW9	0.65
ERR346600.591	VH-FW16	0.6363636363636364
ERR346600.584	VH-FW9	0.65
ERR346600.592	VH-FW9	0.65
ERR346600.593	VH-FW16	0.6818181818181819
ERR346600.602	VH-FW17	0.6
ERR346600.596	VH-FW16	0.5909090909090908
ERR346600.601	VH-FW17	0.6
ERR346600.597	VH-FW16	0.5909090909090908
ERR346600.612	VH-FW9	0.65
ERR346600.610	VH-FW16	0.6363636363636364
ERR346600.600	VH-FW17	0.65
ERR346600.598	VH-FW16	0.6818181818181819
ERR346600.616	VH-FW9	0.65
ERR346600.611	VH-FW16	0.5909090909090908
ERR346600.607	VH-FW16	0.6818181818181819
ERR346600.599	VH-FW16	0.6363636363636364
ERR346600.621	VH-FW16	0.6818181818181819
ERR346600.609	VH-FW16	0.6363636363636364
ERR346600.604	VH-FW16	0.6363636363636364
ERR346600.594	VH-FW9	0.7
ERR346600.625	VH-FW16	0.6818181818181819
ERR346600.615	VH-FW16	0.6818181818181819
ERR346600.608	VH-FW16	0.6363636363636364
ERR346600.613	VH-FW17	0.65
ERR346600.628	VH-FW9	0.65
ERR346600.606	VH-FW16	0.6818181818181819
ERR346600.605	VH-FW16	0.6818181818181819
ERR346600.627	VH-FW16	0.6363636363636364
ERR346600.618	VH-FW16	0.6818181818181819
ERR346600.624	VH-FW16	0.6363636363636364
ERR346600.626	VH-FW16	0.6363636363636364
ERR346600.636	VH-FW9	0.65
ERR346600.620	VH-FW9	0.7
ERR346600.614	VH-FW16	0.6818181818181819
ERR346600.631	VH-FW16	0.6363636363636364
ERR346600.634	VH-FW17	0.65
ERR346600.629	VH-FW9	0.65
ERR346600.630	VH-FW16	0.6363636363636364
ERR346600.619	VH-FW9	0.7
ERR346600.623	VH-FW16	0.6363636363636364
ERR346600.640	VH-FW16	0.5909090909090908
ERR346600.642	VH-FW9	0.65
ERR346600.641	VH-FW16	0.6818181818181819
ERR346600.645	VH-FW16	0.6363636363636364
ERR346600.643	VH-FW1	0.55
ERR346600.649	VH-FW16	0.6363636363636364
ERR346600.639	VH-FW9	0.7
ERR346600.646	VH-FW9	0.7
ERR346600.638	VH-FW9	0.7
ERR346600.644	VH-FW17	0.65
ERR346600.656	VH-FW9	0.65
ERR346600.650	VH-FW9	0.7
ERR346600.647	VH-FW17	0.6
ERR346600.651	VH-FW16	0.6818181818181819
ERR346600.635	VH-FW17	0.6
ERR346600.648	VH-FW9	0.65
ERR346600.654	VH-FW9	0.65
ERR346600.657	VH-FW17	0.6
ERR346600.660	VH-FW16	0.6363636363636364
ERR346600.666	VH-FW17	0.6
ERR346600.662	VH-FW16	0.5909090909090908
ERR346600.658	VH-FW9	0.65
ERR346600.653	VH-FW16	0.5909090909090908
ERR346600.652	VH-FW9	0.65
ERR346600.671	VH-FW16	0.6818181818181819
ERR346600.682	VH-FW16	0.6363636363636364
ERR346600.667	VH-FW9	0.65
ERR346600.659	VH-FW9	0.7
ERR346600.672	VH-FW9	0.7
ERR346600.680	VH-FW9	0.7
ERR346600.676	VH-FW16	0.6363636363636364
ERR346600.661	VH-FW15	0.5
ERR346600.663	VH-FW16	0.6818181818181819
ERR346600.670	VH-FW16	0.6363636363636364
ERR346600.681	VH-FW16	0.6363636363636364
ERR346600.678	VH-FW9	0.7
ERR346600.685	VH-FW16	0.6818181818181819
ERR346600.673	VH-FW17	0.6
ERR346600.679	VH-FW17	0.6
ERR346600.664	VH-FW16	0.6363636363636364
ERR346600.674	VH-FW9	0.65
ERR346600.692	VH-FW17	0.6
ERR346600.683	VH-FW17	0.6
ERR346600.689	VH-FW16	0.6363636363636364
ERR346600.688	VH-FW9	0.7
ERR346600.690	VH-FW9	0.7
ERR346600.687	VH-FW16	0.6363636363636364
ERR346600.697	VH-FW16	0.6363636363636364
ERR346600.693	VH-FW16	0.5909090909090908
ERR346600.695	VH-FW9	0.65
ERR346600.700	VH-FW9	0.7
ERR346600.704	VH-FW16	0.6363636363636364
ERR346600.701	VH-FW9	0.65
ERR346600.714	VH-FW16	0.6363636363636364
ERR346600.698	VH-FW16	0.6363636363636364
ERR346600.696	VH-FW9	0.7
ERR346600.707	VH-FW16	0.6818181818181819
ERR346600.706	VH-FW9	0.7
ERR346600.694	VH-FW16	0.6818181818181819
ERR346600.686	VH-FW16	0.6363636363636364
ERR346600.709	VH-FW14	0.65
ERR346600.710	VH-FW17	0.6
ERR346600.708	VH-FW16	0.6363636363636364
ERR346600.702	VH-FW9	0.7
ERR346600.705	VH-FW9	0.65
ERR346600.726	VH-FW16	0.6363636363636364
ERR346600.719	VH-FW9	0.65
ERR346600.724	VH-FW9	0.65
ERR346600.720	VH-FW16	0.6818181818181819
ERR346600.715	VH-FW17	0.65
ERR346600.722	VH-FW17	0.65
ERR346600.727	VH-FW16	0.6363636363636364
ERR346600.717	VH-FW9	0.7
ERR346600.737	VH-FW17	0.6
ERR346600.725	VH-FW17	0.6
ERR346600.733	VH-FW9	0.65
ERR346600.723	VH-FW9	0.65
ERR346600.731	VH-FW16	0.6363636363636364
ERR346600.730	VH-FW17	0.7
